id,longest path,total edge,rate,total vertex
690,8,12,0.666666667,12
691,14,14,1,15
692,14,16,0.875,15
693,20,33,0.606060606,30
694,17,25,0.68,24
695,20,28,0.714285714,24
696,4,6,0.666666667,6
697,16,24,0.666666667,21
698,14,14,1,15
699,14,34,0.411764706,30
700,14,15,0.933333333,15
701,20,30,0.666666667,30
702,20,28,0.714285714,24
703,20,36,0.555555556,30
704,14,26,0.538461538,24
705,14,26,0.538461538,24
706,20,26,0.769230769,24
707,20,26,0.769230769,24
708,20,29,0.689655172,27
709,14,14,1,15
710,16,28,0.571428571,27
711,14,14,1,15
712,14,22,0.636363636,21
713,17,25,0.68,24
714,14,16,0.875,15
715,14,19,0.736842105,18
716,14,14,1,15
717,8,12,0.666666667,12
718,14,19,0.736842105,18
719,14,34,0.411764706,30
720,14,26,0.538461538,24
721,20,26,0.769230769,24
722,14,14,1,15
723,14,24,0.583333333,24
724,20,26,0.769230769,24
725,11,11,1,12
726,11,17,0.647058824,15
727,14,19,0.736842105,18
728,14,14,1,15
729,2,3,0.666666667,3
730,14,19,0.736842105,18
731,5,9,0.555555556,9
732,14,26,0.538461538,24
733,14,14,1,15
734,17,27,0.62962963,24
735,14,26,0.538461538,24
736,14,16,0.875,15
737,20,26,0.769230769,24
738,17,27,0.62962963,27
739,11,21,0.523809524,21
740,8,12,0.666666667,12
741,20,26,0.769230769,24
742,14,19,0.736842105,18
743,14,32,0.4375,30
744,5,10,0.5,9
745,20,26,0.769230769,24
746,11,11,1,12
747,5,6,0.833333333,6
748,8,8,1,9
749,14,14,1,15
750,20,20,1,21
751,14,24,0.583333333,24
752,14,26,0.538461538,24
753,14,19,0.736842105,18
754,11,16,0.6875,15
755,8,12,0.666666667,12
756,14,19,0.736842105,18
