nohup: ignoring input
2022-08-12 06:05:44.326703: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2022-08-12 06:05:44.326746: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2022-08-12 06:05:47.391181: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2022-08-12 06:05:47.391226: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2022-08-12 06:05:47.391250: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (ubuntu): /proc/driver/nvidia/version does not exist
2022-08-12 06:05:47.391574: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
random - 000409 :  5.058447519938151e-05
random - 000410 :  7.768472035725912e-06
random - 000411 :  3.7948290506998697e-06
random - 000412 :  5.066394805908203e-06
random - 000413 :  3.3060709635416664e-05
random - 000414 :  2.8133392333984375e-05
random - 000415 :  2.4557113647460938e-05
random - 000416 :  1.339117685953776e-05
random - 000417 :  3.526608149210612e-06
random - 000418 :  3.329912821451823e-05
random - 000419 :  3.198782602945963e-05
random - 000420 :  2.0265579223632812e-05
random - 000421 :  1.2675921122233072e-05
random - 000422 :  5.861123402913411e-06
random - 000423 :  2.0742416381835938e-05
random - 000424 :  1.4702479044596354e-05
random - 000425 :  3.8007895151774086e-05
random - 000426 :  2.0503997802734375e-05
random - 000427 :  1.537799835205078e-05
random - 000428 :  1.083811124165853e-05
random - 000429 :  1.5656153361002605e-05
random - 000430 :  2.7338663736979168e-05
random - 000431 :  3.417332967122396e-06
random - 000432 :  1.4821688334147135e-05
random - 000433 :  1.014272371927897e-05
random - 000434 :  1.0609626770019531e-05
random - 000435 :  2.582867940266927e-05
random - 000436 :  2.6106834411621094e-05
random - 000437 :  1.8278757731119793e-05
random - 000438 :  2.658367156982422e-05
random - 000439 :  3.143151601155599e-05
random - 000440 :  3.9577484130859375e-05
random - 000441 :  2.7179718017578125e-05
random - 000442 :  2.8848648071289062e-05
random - 000443 :  2.5113423665364582e-05
random - 000444 :  2.9802322387695312e-05
random - 000445 :  1.9391377766927082e-05
random - 000446 :  7.033348083496094e-06
random - 000447 :  3.250439961751302e-05
random - 000448 :  2.5272369384765625e-05
random - 000449 :  2.9166539510091145e-05
random - 000450 :  2.280871073404948e-05
random - 000451 :  5.453824996948242e-06
random - 000452 :  1.3907750447591146e-05
random - 000453 :  9.973843892415365e-06
random - 000454 :  1.7484029134114582e-05
random - 000455 :  1.990795135498047e-05
random - 000456 :  1.430511474609375e-05
random - 000457 :  1.7881393432617188e-06
random - 000458 :  1.339117685953776e-05
random - 000459 :  1.426537831624349e-05
random - 000460 :  9.953975677490234e-06
random - 000461 :  1.2000401814778646e-05
random - 000462 :  4.2279561360677086e-05
random - 000463 :  3.6875406901041664e-05
random - 000464 :  1.4861424763997396e-05
random - 000465 :  5.125999450683594e-06
random - 000466 :  1.811981201171875e-05
random - 000467 :  1.5099843343098959e-05
random - 000468 :  2.3404757181803387e-05
random - 000469 :  3.337860107421875e-06
random - 000470 :  4.311402638753255e-06
random - 000471 :  4.808108011881511e-06
random - 000472 :  7.069110870361328e-05
random - 000473 :  3.4570693969726562e-06
random - 000474 :  4.8478444417317706e-06
random - 000475 :  1.5934308369954426e-05
random - 000476 :  3.516674041748047e-06
random - 000477 :  1.8835067749023438e-05
random - 000478 :  8.196880420049032e-06
random - 000479 :  2.7497609456380207e-05
random - 000480 :  1.8596649169921875e-05
random - 000481 :  2.950429916381836e-06
random - 000482 :  4.609425862630208e-06
random - 000483 :  3.258387247721354e-06
random - 000484 :  5.314747492472331e-06
random - 000485 :  3.059705098470052e-05
random - 000486 :  1.243750254313151e-05
random - 000487 :  2.9087066650390625e-05
random - 000488 :  2.1258989969889324e-05
random - 000489 :  3.0080477396647137e-05
random - 000490 :  9.616216023763021e-06
random - 000491 :  6.566445032755534e-06
random - 000492 :  3.743171691894531e-05
random - 000493 :  3.043810526529948e-05
random - 000494 :  2.2570292154947918e-05
random - 000495 :  2.5431315104166668e-05
random - 000496 :  3.516674041748047e-06
random - 000497 :  1.2199083964029947e-05
random - 000498 :  5.4637591044108076e-06
random - 000499 :  3.4570693969726562e-06
