No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
116,3.67E-05,1.61E-06,3.53E-05,1.65E-06,1.93E-05,4.41E-07,3.04E-05,1.23E-06,0:1 1:1 2:2 ,from:0 to:1 operator:6  from:0 to:2 operator:2  from:1 to:2 operator:-1  ,0
117,1.10E-05,1.55E-06,1.14E-05,1.55E-06,8.46E-06,2.70E-07,1.03E-05,1.12E-06,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:3  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
118,2.90E-05,1.87E-06,2.91E-05,1.88E-06,1.67E-05,1.86E-07,2.49E-05,1.31E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:2  ,0
119,2.62E-05,1.42E-06,2.62E-05,1.39E-06,1.98E-05,3.55E-07,2.41E-05,1.05E-06,0:1 1:1 2:1 ,from:0 to:1 operator:3  from:1 to:2 operator:-1  ,0
120,1.72E-05,1.56E-06,1.38E-05,1.49E-06,1.56E-05,4.01E-07,1.55E-05,1.15E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
121,4.83E-06,1.22E-06,5.07E-06,1.28E-06,5.75E-06,3.57E-07,5.22E-06,9.55E-07,0:1 1:1 2:2 ,from:0 to:1 operator:8  from:0 to:2 operator:12  from:1 to:2 operator:-1  ,0
122,4.29E-06,9.16E-07,4.29E-06,9.17E-07,4.65E-06,2.18E-07,4.41E-06,6.84E-07,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:2  ,0
123,1.76E-05,1.17E-06,2.29E-05,1.27E-06,2.31E-05,6.75E-07,2.12E-05,1.04E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
124,3.10E-05,1.13E-06,3.24E-05,1.12E-06,3.39E-05,4.07E-07,3.24E-05,8.87E-07,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
125,2.15E-05,1.82E-06,2.15E-05,1.81E-06,1.97E-05,1.81E-07,2.09E-05,1.27E-06,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
126,1.84E-05,1.77E-06,1.86E-05,1.73E-06,1.49E-05,2.51E-07,1.73E-05,1.25E-06,0:1 1:1 2:1 ,from:0 to:1 operator:11  from:1 to:2 operator:-1  ,0
127,4.35E-06,1.14E-06,3.99E-06,1.16E-06,5.07E-06,2.00E-07,4.47E-06,8.33E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
128,4.77E-06,8.78E-07,4.59E-06,8.52E-07,4.53E-06,2.18E-07,4.63E-06,6.50E-07,0:1 1:1 2:2 ,from:0 to:1 operator:3  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
129,3.55E-05,3.02E-06,3.50E-05,3.09E-06,3.35E-05,5.54E-07,3.47E-05,2.22E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
130,2.48E-05,3.17E-06,2.75E-05,3.25E-06,2.42E-05,1.03E-06,2.55E-05,2.48E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
131,3.62E-05,1.39E-06,3.67E-05,1.36E-06,2.07E-05,4.71E-07,3.12E-05,1.07E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
132,1.86E-05,1.30E-06,2.05E-05,1.37E-06,1.31E-05,6.93E-07,1.74E-05,1.12E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:4  ,0
133,6.56E-06,1.72E-06,6.56E-06,1.71E-06,7.21E-06,3.43E-07,6.78E-06,1.26E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:4  ,0
134,2.10E-05,1.19E-06,2.10E-05,1.28E-06,1.91E-05,7.23E-07,2.03E-05,1.07E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
